replication,seed,final_time,workday_minutes,total_revenue,clients_generated,clients_completed,average_seller_wait,average_repair_wait,average_change_wait,seller_utilization,technician_utilization,specialist_utilization,completed_type_1,completed_type_2,completed_type_3,completed_type_4,revenue_type_1,revenue_type_2,revenue_type_3,revenue_type_4
83,12428,481.37100186652964,480,7600.0,22,22,0.0,0.0,0.0,0.1507343677352717,0.27401903632829316,0.06818354208684205,8,6,2,6,0.0,2100.0,1000.0,4500.0
84,12429,493.76377590141584,480,6500.0,23,23,0.6618407858177998,0.0,0.0,0.11281801009235161,0.2608995158812376,0.016008890984771325,11,5,2,5,0.0,1750.0,1000.0,3750.0
85,12430,482.3457527080862,480,6050.0,22,22,0.0,0.0,0.0,0.11647133751666552,0.16594411345094476,0.08216515553428579,8,8,5,1,0.0,2800.0,2500.0,750.0
86,12431,426.1892557257629,480,8650.0,28,28,0.15520057466477968,0.0,0.0,0.22416013388226663,0.1679430394145657,0.08895099664030653,13,4,4,7,0.0,1400.0,2000.0,5250.0
87,12432,487.6076811354575,480,5450.0,20,20,0.0,0.0,0.0,0.12811311626495417,0.15647382331449494,0.06241468088589874,8,7,3,2,0.0,2450.0,1500.0,1500.0
88,12433,514.6237295861406,480,5000.0,23,23,0.2779044295967505,0.0,0.0,0.14686744778105812,0.1384506879349706,0.04000124935225897,13,5,2,3,0.0,1750.0,1000.0,2250.0
89,12434,517.2017416115485,480,4150.0,11,11,0.0,0.0,0.0,0.0711799659774906,0.13269682765408142,0.03198669675593129,3,4,1,3,0.0,1400.0,500.0,2250.0
90,12435,476.304905659933,480,7600.0,25,25,0.15782399926797894,0.0,1.5632427066770902,0.15375799821440617,0.1746328695030724,0.27144533621598677,10,6,5,4,0.0,2100.0,2500.0,3000.0
91,12436,520.139565433556,480,7750.0,24,24,0.26704253244433634,0.0,0.0,0.14534944049313842,0.2698247106513527,0.05645536314357277,10,5,3,6,0.0,1750.0,1500.0,4500.0
92,12437,495.249456588937,480,7100.0,23,23,0.12404869902168328,0.0,0.0,0.13886080205518678,0.2184157904102057,0.0878237484074744,9,6,4,4,0.0,2100.0,2000.0,3000.0
93,12438,496.6420359514377,480,7150.0,26,26,0.06635639093455617,0.5427209509219793,0.0,0.16576050838161535,0.33818265218091786,0.2977714659688623,13,4,4,5,0.0,1400.0,2000.0,3750.0
94,12439,458.2423190655135,480,7400.0,26,26,0.2974950134187526,0.0,0.0,0.1853923461429637,0.24845698290182108,0.1382390909954129,11,9,1,5,0.0,3150.0,500.0,3750.0
95,12440,468.34013593536713,480,8400.0,25,25,0.0,0.0,0.0,0.16782436672110587,0.2472628811330408,0.08969331501337095,11,4,2,8,0.0,1400.0,1000.0,6000.0
96,12441,474.2172337057835,480,4600.0,16,16,0.0,0.0,0.0,0.08690750364976745,0.21814773303845258,0.07064016323042137,6,6,2,2,0.0,2100.0,1000.0,1500.0
97,12442,486.28883880993106,480,4400.0,25,25,0.0,0.0,0.0,0.12867977861730684,0.29277208461608034,0.06371475192947425,16,4,3,2,0.0,1400.0,1500.0,1500.0
98,12443,474.58343928244653,480,5750.0,24,24,0.0,0.0,0.0,0.13185258883640444,0.17780987014663574,0.06122712670998387,10,10,3,1,0.0,3500.0,1500.0,750.0
99,12444,534.147013878358,480,5650.0,25,25,0.31123040218037656,0.0,0.0,0.1392413995148231,0.2251120435603723,0.23310371623586662,14,4,4,3,0.0,1400.0,2000.0,2250.0
100,12445,496.9951625602363,480,7100.0,20,20,0.0,0.0,0.0,0.13373414669362793,0.19513470631052607,0.018606034313634834,7,6,1,6,0.0,2100.0,500.0,4500.0
101,12446,490.7713868467372,480,4150.0,23,23,0.0,0.0,0.0,0.12453289869185495,0.2684202963244946,0.04991023639730058,15,4,1,3,0.0,1400.0,500.0,2250.0
102,12447,472.52593751550666,480,4700.0,18,18,0.09721838443140977,0.0,1.8916593709546987,0.11642990466243887,0.12283036529023086,0.12122058606225201,10,2,2,4,0.0,700.0,1000.0,3000.0
103,12448,481.74415674974983,480,11900.0,33,33,0.22446982108580082,0.0,0.0,0.24106800184449173,0.28655675204524833,0.061131567617296906,14,4,3,12,0.0,1400.0,1500.0,9000.0
104,12449,447.25429794957813,480,9000.0,26,26,0.23769903963617786,0.0,0.0,0.18246486174189272,0.19627836681767938,0.13385695546962456,10,5,4,7,0.0,1750.0,2000.0,5250.0
105,12450,475.0130429576029,480,5100.0,22,22,0.06403102557344263,0.0,0.0,0.13778404117272489,0.22783179231636255,0.009451811422140018,12,6,0,4,0.0,2100.0,0.0,3000.0
106,12451,437.43259183252974,480,10200.0,23,23,0.24065382269241645,0.0,1.3837934715728692,0.17810314119126922,0.11360478260369414,0.11448501704581728,4,7,5,7,0.0,2450.0,2500.0,5250.0
107,12452,521.5324052484425,480,6300.0,26,26,0.0,0.7143970916984017,0.0,0.14077229179070522,0.36504586817934015,0.1496364103442777,13,8,1,4,0.0,2800.0,500.0,3000.0
108,12453,418.63275422407355,480,7250.0,19,19,0.0,0.0,0.0,0.13990994111892024,0.21084646135185722,0.11550250226686344,6,5,2,6,0.0,1750.0,1000.0,4500.0
109,12454,457.68257740435917,480,6350.0,21,21,0.1192758247468849,0.0,0.0,0.14320292195907589,0.24534444693365837,0.08787302305696723,9,6,1,5,0.0,2100.0,500.0,3750.0
110,12455,479.11340676580176,480,5100.0,21,21,0.09033150887511879,0.0,0.0,0.12504339147957783,0.19582611820766635,0.03447392447442899,10,6,3,2,0.0,2100.0,1500.0,1500.0
